timestamp,elapsed_seconds,operations,operations_per_second
1765405779.286507,0.006198,1,161.33
1765405779.303323,0.023146,2,86.41
1765405779.329580,0.048586,3,61.75
1765405779.378081,0.097950,4,40.84
1765405779.432865,0.152655,5,32.75
1765405779.489182,0.208890,6,28.72
1765405779.551663,0.271429,7,25.79
1765405779.645989,0.365679,8,21.88
1765405779.772097,0.491705,9,18.30
1765405779.930735,0.650369,10,15.38
1765405780.071635,0.791285,11,13.90
1765405780.223764,0.943462,12,12.72
1765405780.464697,1.184306,13,10.98
1765405780.697314,1.417077,14,9.88
1765405780.896877,1.616406,15,9.28
1765405781.194368,1.914104,16,8.36
1765405781.599553,2.319160,17,7.33
1765405781.943477,2.663227,18,6.76
1765405782.335022,3.054712,19,6.22
1765405782.681762,3.401346,20,5.88
1765405783.098597,3.818273,21,5.50
1765405783.535202,4.254786,22,5.17
1765405783.975082,4.694540,23,4.90
1765405784.336274,5.055956,24,4.75
1765405784.745661,5.465360,25,4.57
1765405785.332813,6.052424,26,4.30
1765405785.858169,6.577776,27,4.10
1765405786.447541,7.166855,28,3.91
1765405786.963221,7.682800,29,3.77
1765405787.378414,8.098063,30,3.70
