timestamp,elapsed_seconds,operations,operations_per_second
1765405764.948509,0.024266,8,329.68
1765405765.011649,0.087229,16,183.43
1765405765.079382,0.155455,24,154.39
1765405765.180057,0.256050,32,124.98
1765405765.331403,0.407116,40,98.25
1765405765.480009,0.556652,48,86.23
1765405765.605615,0.682308,56,82.07
1765405765.791446,0.868050,64,73.73
1765405766.026943,1.103660,72,65.24
1765405766.273589,1.349779,80,59.27
1765405766.566417,1.642019,88,53.59
1765405766.855875,1.932543,96,49.68
1765405767.183936,2.260492,104,46.01
1765405767.500890,2.577578,112,43.45
1765405767.868183,2.944804,120,40.75
1765405768.403614,3.480255,128,36.78
1765405769.057394,4.133743,136,32.90
1765405769.767898,4.844462,144,29.72
1765405770.458680,5.535183,152,27.46
1765405771.169252,6.245867,160,25.62
1765405771.886602,6.963157,168,24.13
1765405772.622834,7.699434,176,22.86
1765405773.432001,8.508059,184,21.63
1765405774.280218,9.356395,192,20.52
1765405775.096184,10.172759,200,19.66
1765405775.918304,10.994966,208,18.92
1765405776.724164,11.800486,216,18.30
1765405777.532040,12.608630,224,17.77
1765405778.380563,13.457226,232,17.24
1765405779.278991,14.355364,240,16.72
