timestamp,elapsed_seconds,operations,operations_per_second
1765405754.897842,0.008098,1,123.48
1765405754.928246,0.038034,2,52.58
1765405754.968331,0.079303,3,37.83
1765405755.023618,0.134116,4,29.83
1765405755.132761,0.243720,5,20.52
1765405755.243598,0.353843,6,16.96
1765405755.348673,0.459731,7,15.23
1765405755.551558,0.662459,8,12.08
1765405755.798025,0.908189,9,9.91
1765405756.019242,1.130369,10,8.85
1765405756.199422,1.310491,11,8.39
1765405756.361688,1.472674,12,8.15
1765405756.585731,1.696677,13,7.66
1765405756.783111,1.894192,14,7.39
1765405756.959525,2.070567,15,7.24
1765405757.226901,2.337595,16,6.84
1765405757.733973,2.845018,17,5.98
1765405758.338174,3.449227,18,5.22
1765405758.804007,3.914818,19,4.85
1765405759.279696,4.390206,20,4.56
1765405759.870083,4.981086,21,4.22
1765405760.434228,5.544424,22,3.97
1765405760.926716,6.036594,23,3.81
1765405761.467351,6.578241,24,3.65
1765405761.935032,7.045857,25,3.55
1765405762.369344,7.480378,26,3.48
1765405762.899914,8.010950,27,3.37
1765405763.368262,8.478827,28,3.30
1765405763.922050,9.033042,29,3.21
1765405764.922187,10.033167,30,2.99
