timestamp,elapsed_seconds,operations,operations_per_second
1765378269.788583,0.002469,1,404.97
1765378269.795397,0.009364,2,213.58
1765378269.805389,0.019368,3,154.89
1765378269.824466,0.038440,4,104.06
1765378269.848942,0.062917,5,79.47
1765378269.876677,0.090662,6,66.18
1765378269.907861,0.121843,7,57.45
1765378269.958670,0.172655,8,46.34
1765378270.023419,0.237382,9,37.91
1765378270.093085,0.307067,10,32.57
1765378270.173330,0.387304,11,28.40
1765378270.253456,0.467433,12,25.67
1765378270.339332,0.553316,13,23.49
1765378270.427088,0.641072,14,21.84
1765378270.522719,0.736705,15,20.36
1765378270.661473,0.875468,16,18.28
1765378270.832023,1.046008,17,16.25
1765378271.013556,1.227569,18,14.66
1765378271.205015,1.419006,19,13.39
1765378271.397905,1.611889,20,12.41
1765378271.604011,1.818014,21,11.55
1765378271.819305,2.033305,22,10.82
1765378272.042567,2.256590,23,10.19
1765378272.248265,2.462296,24,9.75
1765378272.477366,2.691391,25,9.29
1765378272.705236,2.919265,26,8.91
1765378272.943981,3.158031,27,8.55
1765378273.185923,3.399972,28,8.24
1765378273.440059,3.654116,29,7.94
1765378273.694562,3.908626,30,7.68
