timestamp,elapsed_seconds,operations,operations_per_second
1765378262.547726,0.004264,8,1876.28
1765378262.559664,0.016285,16,982.53
1765378262.577282,0.033909,24,707.77
1765378262.611407,0.068030,32,470.38
1765378262.653606,0.110226,40,362.89
1765378262.702926,0.159555,48,300.84
1765378262.756345,0.212966,56,262.95
1765378262.862925,0.319547,64,200.28
1765378262.984644,0.441235,72,163.18
1765378263.108060,0.564683,80,141.67
1765378263.243346,0.699979,88,125.72
1765378263.381114,0.837739,96,114.59
1765378263.536960,0.993591,104,104.67
1765378263.686004,1.142642,112,98.02
1765378263.854361,1.311014,120,91.53
1765378264.115779,1.572417,128,81.40
1765378264.403664,1.860324,136,73.11
1765378264.712981,2.169646,144,66.37
1765378265.113111,2.569769,152,59.15
1765378265.516444,2.973113,160,53.82
1765378265.908153,3.364833,168,49.93
1765378266.287257,3.743914,176,47.01
1765378266.721323,4.178017,184,44.04
1765378267.117544,4.574232,192,41.97
1765378267.509743,4.966456,200,40.27
1765378267.913037,5.369748,208,38.74
1765378268.363819,5.820566,216,37.11
1765378268.872540,6.329294,224,35.39
1765378269.341827,6.798574,232,34.12
1765378269.785888,7.242678,240,33.14
1765712888.759523,0.004997,8,1600.83
1765712888.772172,0.017653,16,906.34
1765712888.790225,0.035702,24,672.23
1765712888.825570,0.071035,32,450.48
1765712888.871663,0.117134,40,341.49
1765712888.920526,0.165995,48,289.17
1765712888.975078,0.220547,56,253.91
1765712889.063339,0.308801,64,207.25
1765712889.181984,0.427441,72,168.44
1765712889.303682,0.549142,80,145.68
1765712889.429617,0.675077,88,130.36
1765712889.560186,0.805642,96,119.16
1765712889.707739,0.953192,104,109.11
1765712889.860065,1.105510,112,101.31
1765712890.018469,1.263921,120,94.94
1765712890.255310,1.500753,128,85.29
1765712890.544123,1.789579,136,76.00
1765712890.848302,2.093706,144,68.78
1765712891.165937,2.411387,152,63.03
1765712891.491103,2.736529,160,58.47
1765712891.834165,3.079610,168,54.55
1765712892.220423,3.465843,176,50.78
1765712892.601796,3.847205,184,47.83
1765712892.958003,4.203442,192,45.68
1765712893.355640,4.601073,200,43.47
1765712893.793752,5.039170,208,41.28
1765712894.202043,5.447467,216,39.65
1765712894.671763,5.917161,224,37.86
1765712895.133295,6.378699,232,36.37
1765712895.576121,6.821531,240,35.18
1765716515.639667,0.005020,8,1593.76
1765716515.652122,0.017474,16,915.66
1765716515.671379,0.036725,24,653.51
1765716515.705237,0.070588,32,453.33
1765716515.747589,0.112935,40,354.19
1765716515.796463,0.161806,48,296.65
1765716515.852254,0.217601,56,257.35
1765716515.944033,0.309373,64,206.87
1765716516.058606,0.423943,72,169.83
1765716516.184845,0.550183,80,145.41
1765716516.313446,0.678777,88,129.64
1765716516.445420,0.810752,96,118.41
1765716516.591683,0.957014,104,108.67
1765716516.741582,1.106915,112,101.18
1765716516.901488,1.266827,120,94.72
1765716517.136680,1.502001,128,85.22
1765716517.427092,1.792423,136,75.87
1765716517.739294,2.104615,144,68.42
1765716518.073743,2.439073,152,62.32
1765716518.404205,2.769516,160,57.77
1765716518.762980,3.128303,168,53.70
1765716519.142990,3.508283,176,50.17
1765716519.519719,3.885025,184,47.36
1765716519.892363,4.257664,192,45.10
1765716520.344770,4.710085,200,42.46
1765716520.780479,5.145783,208,40.42
1765716521.205299,5.570591,216,38.78
1765716521.615254,5.980568,224,37.45
1765716522.051720,6.417016,232,36.15
1765716522.519305,6.884619,240,34.86
1765717286.011297,0.000460,8,17378.69
1765717286.012421,0.001593,16,10043.68
1765717286.013832,0.003006,24,7984.36
1765717286.016379,0.005554,32,5761.35
1765717286.020376,0.009544,40,4191.32
1765717286.024759,0.013923,48,3447.54
1765717286.028682,0.017843,56,3138.57
1765717286.034717,0.023887,64,2679.31
1765717286.043785,0.032931,72,2186.38
1765717286.051627,0.040796,80,1960.96
1765717286.060617,0.049766,88,1768.27
1765717286.069351,0.058518,96,1640.53
1765717286.079159,0.068320,104,1522.24
1765717286.089581,0.078721,112,1422.75
1765717286.101303,0.090460,120,1326.55
1765717286.117129,0.106271,128,1204.47
1765717286.138416,0.127530,136,1066.42
1765717286.159011,0.148150,144,971.99
1765717286.181134,0.170268,152,892.71
1765717286.202625,0.191755,160,834.40
1765717286.227093,0.216228,168,776.96
1765717286.251989,0.241128,176,729.90
1765717286.282297,0.271436,184,677.88
1765717286.310520,0.299660,192,640.73
1765717286.339620,0.328756,200,608.35
1765717286.366255,0.355384,208,585.28
1765717286.409246,0.398295,216,542.31
1765717286.445657,0.434764,224,515.22
1765717286.478934,0.468077,232,495.64
1765717286.507790,0.496917,240,482.98
1765717751.534266,0.000563,8,14203.28
1765717751.535489,0.001787,16,8954.18
1765717751.536957,0.003264,24,7353.41
1765717751.540188,0.006482,32,4937.03
1765717751.543987,0.010276,40,3892.58
1765717751.547262,0.013559,48,3540.05
1765717751.551290,0.017584,56,3184.65
1765717751.557186,0.023488,64,2724.77
1765717751.564163,0.030462,72,2363.61
1765717751.573379,0.039652,80,2017.55
1765717751.583461,0.049746,88,1768.98
1765717751.594534,0.060811,96,1578.67
1765717751.604883,0.071168,104,1461.32
1765717751.615084,0.081375,112,1376.35
1765717751.626517,0.092791,120,1293.23
1765717751.646442,0.112707,128,1135.69
1765717751.665983,0.132251,136,1028.34
1765717751.687741,0.154007,144,935.02
1765717751.709609,0.175857,152,864.34
1765717751.733605,0.199863,160,800.55
1765717751.758208,0.224474,168,748.42
1765717751.784189,0.250446,176,702.75
1765717751.812938,0.279203,184,659.02
1765717751.841060,0.307310,192,624.78
1765717751.871955,0.338191,200,591.38
1765717751.902024,0.368221,208,564.88
1765717751.930472,0.396716,216,544.47
1765717751.961556,0.427820,224,523.58
1765717751.994541,0.460794,232,503.48
1765717752.025038,0.491288,240,488.51
1765719467.753837,0.004677,8,1710.33
1765719467.766294,0.017143,16,933.34
1765719467.785467,0.036293,24,661.28
1765719467.822860,0.073681,32,434.31
1765719467.867813,0.118638,40,337.16
1765719467.922293,0.173117,48,277.27
1765719467.977558,0.228380,56,245.21
1765719468.069507,0.320322,64,199.80
1765719468.186271,0.437074,72,164.73
1765719468.321356,0.572168,80,139.82
1765719468.460581,0.711393,88,123.70
1765719468.603270,0.854078,96,112.40
1765719468.766027,1.016853,104,102.28
1765719468.979766,1.230561,112,91.02
1765719469.147031,1.397844,120,85.85
1765719469.391802,1.642616,128,77.92
1765719469.678646,1.929459,136,70.49
1765719469.990340,2.241135,144,64.25
1765719470.340944,2.591770,152,58.65
1765719470.720468,2.971276,160,53.85
1765719471.236113,3.486901,168,48.18
1765719471.727970,3.978771,176,44.23
1765719472.170113,4.420927,184,41.62
1765719472.746481,4.997287,192,38.42
1765719473.284378,5.535116,200,36.13
1765719473.734378,5.985172,208,34.75
1765719474.223934,6.474725,216,33.36
1765719474.659170,6.909978,224,32.42
1765719475.111512,7.362304,232,31.51
1765719475.570055,7.820845,240,30.69
1765722709.050573,0.004308,8,1857.15
1765722709.064199,0.017929,16,892.42
1765722709.083469,0.037195,24,645.25
1765722709.119317,0.073048,32,438.07
1765722709.165418,0.119141,40,335.74
1765722709.218799,0.172520,48,278.23
1765722709.274431,0.228145,56,245.46
1765722709.371493,0.325216,64,196.79
1765722709.487917,0.441630,72,163.03
1765722709.608534,0.562252,80,142.29
1765722709.743017,0.696743,88,126.30
1765722709.881486,0.835197,96,114.94
1765722710.026750,0.980472,104,106.07
1765722710.183799,1.137528,112,98.46
1765722710.345978,1.299715,120,92.33
1765722710.578010,1.531746,128,83.56
1765722710.866348,1.820073,136,74.72
1765722711.188129,2.141863,144,67.23
1765722711.510343,2.464084,152,61.69
1765722711.832948,2.786683,160,57.42
1765722712.186818,3.140563,168,53.49
1765722712.550640,3.504383,176,50.22
1765722712.956153,3.909854,184,47.06
1765722713.314588,4.268313,192,44.98
1765722713.690472,4.644215,200,43.06
1765722714.100990,5.054759,208,41.15
1765722714.505157,5.458919,216,39.57
1765722714.916208,5.869966,224,38.16
1765722715.362578,6.316361,232,36.73
1765722715.802975,6.756763,240,35.52
