timestamp,elapsed_seconds,operations,operations_per_second
1765378258.657924,0.008180,1,122.25
1765378258.673475,0.024181,2,82.71
1765378258.689480,0.040195,3,74.64
1765378258.713733,0.064455,4,62.06
1765378258.739875,0.090600,5,55.19
1765378258.766877,0.117609,6,51.02
1765378258.797414,0.148144,7,47.25
1765378258.847373,0.198106,8,40.38
1765378258.913256,0.263983,9,34.09
1765378258.986159,0.336880,10,29.68
1765378259.069174,0.419873,11,26.20
1765378259.146279,0.496986,12,24.15
1765378259.229300,0.580040,13,22.41
1765378259.318798,0.669502,14,20.91
1765378259.418358,0.769066,15,19.50
1765378259.556970,0.907694,16,17.63
1765378259.733675,1.084413,17,15.68
1765378259.914040,1.264784,18,14.23
1765378260.099315,1.450072,19,13.10
1765378260.288087,1.638851,20,12.20
1765378260.490581,1.841333,21,11.40
1765378260.700332,2.051107,22,10.73
1765378260.919313,2.270092,23,10.13
1765378261.124504,2.475267,24,9.70
1765378261.344386,2.695179,25,9.28
1765378261.565983,2.916777,26,8.91
1765378261.803031,3.153821,27,8.56
1765378262.042715,3.393510,28,8.25
1765378262.292339,3.643147,29,7.96
1765378262.543226,3.894041,30,7.70
1765712884.870960,0.008303,1,120.43
1765712884.886950,0.024483,2,81.69
1765712884.903651,0.041186,3,72.84
1765712884.928330,0.065855,4,60.74
1765712884.954594,0.092129,5,54.27
1765712884.981846,0.119380,6,50.26
1765712885.012675,0.150207,7,46.60
1765712885.063033,0.200571,8,39.89
1765712885.128053,0.265562,9,33.89
1765712885.196919,0.334459,10,29.90
1765712885.271053,0.408594,11,26.92
1765712885.347233,0.484770,12,24.75
1765712885.430640,0.568184,13,22.88
1765712885.518309,0.655846,14,21.35
1765712885.612898,0.750439,15,19.99
1765712885.750082,0.887617,16,18.03
1765712885.918411,1.055940,17,16.10
1765712886.096811,1.234340,18,14.58
1765712886.285100,1.422636,19,13.36
1765712886.475220,1.612752,20,12.40
1765712886.678050,1.815580,21,11.57
1765712886.890265,2.027791,22,10.85
1765712887.112081,2.249599,23,10.22
1765712887.316923,2.454452,24,9.78
1765712887.541536,2.679057,25,9.33
1765712887.766569,2.904087,26,8.95
1765712888.004311,3.141827,27,8.59
1765712888.245404,3.382923,28,8.28
1765712888.499027,3.636542,29,7.97
1765712888.754393,3.891909,30,7.71
1765716511.755782,0.007948,1,125.82
1765716511.770630,0.023236,2,86.07
1765716511.786734,0.039368,3,76.20
1765716511.810731,0.063376,4,63.11
1765716511.836858,0.089510,5,55.86
1765716511.863991,0.116639,6,51.44
1765716511.894698,0.147347,7,47.51
1765716511.945351,0.197991,8,40.41
1765716512.009522,0.262162,9,34.33
1765716512.079654,0.332290,10,30.09
1765716512.154566,0.407211,11,27.01
1765716512.232831,0.485473,12,24.72
1765716512.318951,0.571598,13,22.74
1765716512.407219,0.659856,14,21.22
1765716512.501215,0.753857,15,19.90
1765716512.638853,0.891483,16,17.95
1765716512.810180,1.062810,17,16.00
1765716512.987898,1.240538,18,14.51
1765716513.176084,1.428722,19,13.30
1765716513.364892,1.617535,20,12.36
1765716513.567950,1.820586,21,11.53
1765716513.780662,2.033295,22,10.82
1765716514.002572,2.255206,23,10.20
1765716514.206431,2.459067,24,9.76
1765716514.428281,2.680920,25,9.33
1765716514.652606,2.905240,26,8.95
1765716514.890109,3.142743,27,8.59
1765716515.128979,3.381607,28,8.28
1765716515.381392,3.634027,29,7.98
1765716515.634519,3.887147,30,7.72
1765717285.755652,0.000607,1,1647.90
1765717285.757177,0.003234,2,618.49
1765717285.758604,0.004684,3,640.43
1765717285.761091,0.007173,4,557.65
1765717285.764153,0.010230,5,488.77
1765717285.767060,0.013153,6,456.17
1765717285.770716,0.016771,7,417.38
1765717285.775542,0.021633,8,369.80
1765717285.781193,0.027286,9,329.84
1765717285.786904,0.032963,10,303.37
1765717285.793329,0.039410,11,279.12
1765717285.798747,0.044845,12,267.59
1765717285.804803,0.050889,13,255.46
1765717285.810531,0.056622,14,247.25
1765717285.816400,0.062503,15,239.99
1765717285.825510,0.071603,16,223.45
1765717285.836042,0.082146,17,206.95
1765717285.847409,0.093489,18,192.54
1765717285.859411,0.105497,19,180.10
1765717285.871143,0.117227,20,170.61
1765717285.883478,0.129570,21,162.07
1765717285.896585,0.142671,22,154.20
1765717285.909949,0.156031,23,147.41
1765717285.922818,0.168903,24,142.09
1765717285.936470,0.182514,25,136.98
1765717285.950154,0.196246,26,132.49
1765717285.965018,0.211104,27,127.90
1765717285.979763,0.225848,28,123.98
1765717285.995168,0.241246,29,120.21
1765717286.010710,0.256791,30,116.83
1765717751.289604,0.000201,1,4976.14
1765717751.290479,0.002007,2,996.57
1765717751.291145,0.002686,3,1116.97
1765717751.292446,0.003986,4,1003.55
1765717751.294036,0.005571,5,897.46
1765717751.295818,0.007361,6,815.11
